X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough
-74.17678575,40.68951565,1,0.116357453,0.000782307,Newark Airport,1,EWR
-73.82612577,40.62572424,2,0.433469667,0.00486634,Jamaica Bay,2,Queens
-73.84947892,40.86588754,3,0.084341106,0.000314414,Allerton/Pelham Gardens,3,Bronx
-73.97702292,40.72415214,4,0.043566527,0.000111872,Alphabet City,4,Manhattan
-74.18992967,40.55034012,5,0.09214649,0.000497957,Arden Heights,5,Staten Island
-74.06777446,40.59906217,6,0.150490543,0.000606461,Arrochar/Fort Wadsworth,6,Staten Island
-73.92149057,40.76108473,7,0.107417171,0.000389788,Astoria,7,Queens
-73.92320241,40.77860696,8,0.027590691,2.66E-05,Astoria Park,8,Queens
-73.78802025,40.75441093,9,0.099784092,0.000338444,Auburndale,9,Queens
-73.79166546,40.6781247,10,0.099839479,0.000435824,Baisley Park,10,Queens
-74.01061563,40.60397771,11,0.079211039,0.000264521,Bath Beach,11,Brooklyn
-74.01549033,40.70248841,12,0.036661301,4.15E-05,Battery Park,12,Manhattan
-74.01611967,40.71161208,13,0.050281323,0.000149359,Battery Park City,13,Manhattan
-74.03044705,40.62358428,14,0.175213698,0.001381778,Bay Ridge,14,Brooklyn
-73.78797108,40.7852195,15,0.144336223,0.000925219,Bay Terrace/Fort Totten,15,Queens
-73.77166782,40.76120883,16,0.141291874,0.000871889,Bayside,16,Queens
-73.9491813,40.6919941,17,0.093522633,0.000322958,Bedford,17,Brooklyn
-73.88692199,40.86876288,18,0.06979955,0.00014885,Bedford Park,18,Bronx
-73.7278694,40.73647244,19,0.101824875,0.000546661,Bellerose,19,Queens
-73.88603484,40.85777311,20,0.051440192,0.000134513,Belmont,20,Bronx
-73.98130073,40.60204898,21,0.115973569,0.000380251,Bensonhurst East,21,Brooklyn
-73.99429702,40.60962734,22,0.126170229,0.000472063,Bensonhurst West,22,Brooklyn
-74.15944329,40.60750422,23,0.290556029,0.002195566,Bloomfield/Emerson Hill,23,Staten Island
-73.96556853,40.80203277,24,0.046999962,6.07E-05,Bloomingdale,24,Manhattan
-73.98645899,40.68561459,25,0.04714582,0.000124168,Boerum Hill,25,Brooklyn
-73.98956041,40.62861224,26,0.123547807,0.00053404,Borough Park,26,Brooklyn
-73.9097812,40.55895009,27,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,27,Queens
-73.80732908,40.71085278,28,0.097960782,0.000291204,Briarwood/Jamaica Hills,28,Queens
-73.96057985,40.58219555,29,0.071408313,0.000201674,Brighton Beach,29,Brooklyn
-73.82009755,40.60487218,30,0.094509767,0.000145862,Broad Channel,30,Queens
-73.87572205,40.85992052,31,0.096424567,0.000333976,Bronx Park,31,Bronx
-73.86462414,40.86445171,32,0.054267216,0.000150879,Bronxdale,32,Bronx
-73.9953288,40.69623833,33,0.053270293,0.000147417,Brooklyn Heights,33,Brooklyn
-73.96769897,40.70255904,34,0.065705932,0.000173946,Brooklyn Navy Yard,34,Brooklyn
-73.91248149,40.66380982,35,0.085787919,0.000323825,Brownsville,35,Brooklyn
-73.91656398,40.69908474,36,0.087050787,0.000247666,Bushwick North,36,Brooklyn
-73.92594836,40.69626745,37,0.14281004,0.000452063,Bushwick South,37,Brooklyn
-73.73554956,40.69329557,38,0.083217569,0.000327393,Cambria Heights,38,Queens
-73.89977387,40.63887893,39,0.132369621,0.000900283,Canarsie,39,Brooklyn
-73.99581808,40.67850422,40,0.051850665,0.000108949,Carroll Gardens,40,Brooklyn
-73.95206533,40.80420483,41,0.052793109,0.000143093,Central Harlem,41,Manhattan
-73.93951647,40.82104621,42,0.092709227,0.000263897,Central Harlem North,42,Manhattan
-73.96557218,40.78245974,43,0.099738618,0.000379663,Central Park,43,Manhattan
-74.22954655,40.52729818,44,0.235688968,0.001944656,Charleston/Tottenville,44,Staten Island
-73.99825262,40.71305783,45,0.045906863,9.14E-05,Chinatown,45,Manhattan
-73.78648631,40.8474999,46,0.13447543,0.000926392,City Island,46,Bronx
-73.89692915,40.84575495,47,0.089827556,0.000163198,Claremont/Bathgate,47,Bronx
-73.98985665,40.76223676,48,0.043746744,9.43E-05,Clinton East,48,Manhattan
-73.96493373,40.68851588,49,0.075290018,0.000203186,Clinton Hill,49,Brooklyn
-73.9938994,40.76669237,50,0.055747987,0.000173249,Clinton West,50,Manhattan
-73.83042363,40.87406155,51,0.095361344,0.000395757,Co-Op City,51,Bronx
-73.99692247,40.68660454,52,0.028907671,4.52E-05,Cobble Hill,52,Brooklyn
-73.84407035,40.78198796,53,0.161500913,0.000947531,College Point,53,Queens
-74.00309279,40.68699115,54,0.076219245,0.000132452,Columbia Street,54,Brooklyn
-73.99047414,40.57689962,55,0.149956808,0.000736275,Coney Island,55,Brooklyn
-73.85905335,40.74159862,56,0.056847813,0.000180908,Corona,56,Queens
-73.85338447,40.75231604,57,0.019270505,1.80E-05,Corona,57,Queens
-73.82070538,40.8414755,58,0.059855409,0.000204981,Country Club,58,Bronx
-73.89307443,40.83885999,59,0.037794807,6.29E-05,Crotona Park,59,Bronx
-73.8897822,40.83129412,60,0.078648288,0.000161833,Crotona Park East,60,Bronx
-73.94128203,40.67384285,61,0.117310808,0.000510772,Crown Heights North,61,Brooklyn
-73.94926997,40.66708956,62,0.082259336,0.000158238,Crown Heights South,62,Brooklyn
-73.87767643,40.68481019,63,0.119100722,0.000353191,Cypress Hills,63,Brooklyn
-73.73139216,40.76063128,64,0.184451885,0.001057903,Douglaston,64,Queens
-73.98557106,40.69537261,65,0.044607068,8.18E-05,Downtown Brooklyn/MetroTech,65,Brooklyn
-73.98638275,40.70173247,66,0.054633459,0.000108379,DUMBO/Vinegar Hill,66,Brooklyn
-74.01473587,40.61845441,67,0.099747078,0.000394282,Dyker Heights,67,Brooklyn
-73.99994016,40.74839722,68,0.04933738,0.000111073,East Chelsea,68,Manhattan
-73.91536622,40.83060768,69,0.078989645,0.000199052,East Concourse/Concourse Village,69,Bronx
-73.86840291,40.76394782,70,0.063840318,0.000195458,East Elmhurst,70,Queens
-73.93773452,40.64392852,71,0.093169455,0.000382573,East Flatbush/Farragut,71,Brooklyn
-73.92021005,40.65246063,72,0.09520207,0.000323532,East Flatbush/Remsen Village,72,Brooklyn
-73.80658433,40.75369749,73,0.085302021,0.0002918,East Flushing,73,Queens
-73.9383105,40.80556557,74,0.110290936,0.000295038,East Harlem North,74,Manhattan
-73.94495667,40.79065016,75,0.0876639,0.000240564,East Harlem South,75,Manhattan
-73.87841737,40.6586863,76,0.241203016,0.001266601,East New York,76,Brooklyn
-73.89571716,40.66770187,77,0.075461081,0.000191918,East New York/Pennsylvania Avenue,77,Brooklyn
-73.88664559,40.84603028,78,0.09359445,0.000191114,East Tremont,78,Bronx
-73.98521412,40.72794428,79,0.042624911,0.000107893,East Village,79,Manhattan
-73.94232931,40.71446957,80,0.117212621,0.000407322,East Williamsburg,80,Brooklyn
-73.84553257,40.87735883,81,0.197592772,0.000399567,Eastchester,81,Bronx
-73.87234401,40.73846392,82,0.11987565,0.000323601,Elmhurst,82,Queens
