item_id,type
client_0,A
client_1,A
client_2,A
client_3,A
client_4,A
client_5,A
client_6,A
client_7,A
client_8,A
client_9,A
client_10,A
client_11,A
client_12,A
client_13,A
client_14,A
client_15,A
client_16,A
client_17,A
client_18,A
client_19,A
client_20,A
client_21,A
client_22,A
client_23,A
client_24,A
client_25,A
client_26,A
client_27,A
client_28,A
client_29,A
client_30,A
client_31,A
client_32,A
client_33,A
client_34,A
client_35,A
client_36,A
client_37,A
client_38,A
client_39,A
client_40,A
client_41,A
client_42,A
client_43,A
client_44,A
client_45,A
client_46,A
client_47,A
client_48,A
client_49,A
client_50,A
client_51,A
client_52,A
client_53,A
client_54,A
client_55,A
client_56,A
client_57,A
client_58,A
client_59,A
client_60,A
client_61,A
client_62,A
client_63,A
client_64,A
client_65,A
client_66,A
client_67,A
client_68,A
client_69,A
client_70,A
client_71,A
client_72,A
client_73,A
client_74,A
client_75,A
client_76,A
client_77,A
client_78,A
client_79,A
client_80,A
client_81,A
client_82,A
client_83,A
client_84,A
client_85,A
client_86,A
client_87,A
client_88,A
client_89,A
client_90,A
client_91,A
client_92,A
client_93,A
client_94,A
client_95,A
client_96,A
client_97,A
client_98,A
client_99,A
client_100,A
client_101,B
client_102,B
client_103,B
client_104,B
client_105,B
client_106,B
client_107,B
client_108,B
client_109,B
client_110,B
client_111,B
client_112,B
client_113,B
client_114,B
client_115,B
client_116,B
client_117,B
client_118,B
client_119,B
client_120,B
client_121,B
client_122,B
client_123,B
client_124,B
client_125,B
client_126,B
client_127,B
client_128,B
client_129,B
client_130,B
client_131,B
client_132,B
client_133,B
client_134,B
client_135,B
client_136,B
client_137,B
client_138,B
client_139,B
client_140,B
client_141,B
client_142,B
client_143,B
client_144,B
client_145,B
client_146,B
client_147,B
client_148,B
client_149,B
client_150,B
client_151,B
client_152,B
client_153,B
client_154,B
client_155,B
client_156,B
client_157,B
client_158,B
client_159,B
client_160,B
client_161,B
client_162,B
client_163,B
client_164,B
client_165,B
client_166,B
client_167,B
client_168,B
client_169,B
client_170,B
client_171,B
client_172,B
client_173,B
client_174,B
client_175,B
client_176,B
client_177,B
client_178,B
client_179,B
client_180,B
client_181,B
client_182,B
client_183,B
client_184,B
client_185,B
client_186,B
client_187,B
client_188,B
client_189,B
client_190,B
client_191,B
client_192,B
client_193,B
client_194,B
client_195,B
client_196,B
client_197,B
client_198,B
client_199,B
client_200,B
client_201,C
client_202,C
client_203,C
client_204,C
client_205,C
client_206,C
client_207,C
client_208,C
client_209,C
client_210,C
client_211,C
client_212,C
client_213,C
client_214,C
client_215,C
client_216,C
client_217,C
client_218,C
client_219,C
client_220,C
client_221,C
client_222,C
client_223,C
client_224,C
client_225,C
client_226,C
client_227,C
client_228,C
client_229,C
client_230,C
client_231,C
client_232,C
client_233,C
client_234,C
client_235,C
client_236,C
client_237,C
client_238,C
client_239,C
client_240,C
client_241,C
client_242,C
client_243,C
client_244,C
client_245,C
client_246,C
client_247,C
client_248,C
client_249,C
client_250,C
client_251,C
client_252,C
client_253,C
client_254,C
client_255,C
client_256,C
client_257,C
client_258,C
client_259,C
client_260,C
client_261,C
client_262,C
client_263,C
client_264,C
client_265,C
client_266,C
client_267,C
client_268,C
client_269,C
client_270,C
client_271,C
client_272,C
client_273,C
client_274,C
client_275,C
client_276,C
client_277,C
client_278,C
client_279,C
client_280,C
client_281,C
client_282,C
client_283,C
client_284,C
client_285,C
client_286,C
client_287,C
client_288,C
client_289,C
client_290,C
client_291,C
client_292,C
client_293,C
client_294,C
client_295,C
client_296,C
client_297,C
client_298,C
client_299,C
client_300,C
client_301,D
client_302,D
client_303,D
client_304,D
client_305,D
client_306,D
client_307,D
client_308,D
client_309,D
client_310,D
client_311,D
client_312,D
client_313,D
client_314,D
client_315,D
client_316,D
client_317,D
client_318,D
client_319,D
client_320,D
client_321,D
client_322,D
client_323,D
client_324,D
client_325,D
client_326,D
client_327,D
client_328,D
client_329,D
client_330,D
client_331,D
client_332,D
client_333,D
client_334,D
client_335,D
client_336,D
client_337,D
client_338,D
client_339,D
client_340,D
client_341,D
client_342,D
client_343,D
client_344,D
client_345,D
client_346,D
client_347,D
client_348,D
client_349,D
client_350,D
client_351,D
client_352,D
client_353,D
client_354,D
client_355,D
client_356,D
client_357,D
client_358,D
client_359,D
client_360,D
client_361,D
client_362,D
client_363,D
client_364,D
client_365,D
client_366,D
client_367,D
client_368,D
client_369,D
client_370,A
client_371,B
client_372,C
client_373,D
